stock,Region1Name,Region2Name,Region3Name,Region4Name,pst_agg,juv_marine,juv_marine_updated
ALSEA_R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
BANDON HATCHERY,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
COOS R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
COOS_H,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
ELK,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
ELK R HATCHERY,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
ELK_H,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
ELK_RIVER,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
GARDINER CR (UMPQUA),Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
MILLICOMA HATCHERY(STEP),Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
MILLICOMA_R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
MORGAN CR (STEP-COOS,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
NOBLE CR (STEP-COOS),Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
SALMON R FISH CULTUR,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
SALMON R HATCHERY,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
SIUSLAW,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
SIUSLAW R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
SIUSLAW_RIVER,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
SIXES_R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
SMITH_RIVER_(UMPQUA),Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
SMITH_RIVER_UMPQUA,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
SMITH_RIVER__UMPQUA,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
S_COOS_R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
S_UMPQUA_H,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
TAHKENITCH_LAKE,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
UMPQUA R (ROCK CR HT),Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
UMPQUA_H,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
UMPQUA_R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
UMPQUA_SMITH,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
UMPQUA_SP,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
UMPQUA_SPRING,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
APPLEGATE_CR,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
CHETCO R,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
CHETCO_R,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
COLE,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
COLEEN_RIVER,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
COLE_RIVER,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
COLE_RIVERS_H,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
COQUILLE R,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
COQUILLE_R,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
ELK R (ELK R HT),N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
HUNTER_CR,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
HUNTER_CREEK,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
LOBSTER_CR,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
LOBSTER_CREEK,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
PISTOL,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
PISTOL_RIVER,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
ROWDY CREEK HATCHERY,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
"ROWDY CREEK, SMITH R",N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
WINCHUK,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
WINCHUK_RIVER,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali,Cali
EUCHRE_CR,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
EUCHRE_CREEK,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
NECANICUM_H,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
NEHALEM,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
NEHALEM_R,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
NEHALEM_RIVER,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
NESTUCCA R (CEDAR CR,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
NESTUCCA_F,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
NESTUCCA_H,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
NESTUCCA_RIVER_FALL,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
TRASK R (TRASK HT),N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
TRASK R HATCHERY,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
TRASK_HATCHERY,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
TRASK_HAT_F,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
TRASK_R,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
WILSON_R,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
COLE RIVERS HATCHERY,Rogue_R,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
COLUMBIA_ROGUE,Rogue_R,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal,WA/OR Coastal
DUNGENESS R  18.0018,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
DUNGENESS_H,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
DUNGENESS_R,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
ELWHA R      18.0272,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
HOKO R       19.0148,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
BINGHAM_CR_HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
CHEHALIS RIVER H,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal,WA/OR Coastal
