stock,Region1Name,Region2Name,Region3Name,Region4Name,pst_agg,juv_marine
CLEELMHATCH,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
COOS R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
COOS_H,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
ELK,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
ELK R HATCHERY,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
ELK_H,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
ELK_RIVER,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
GARDINER CR (UMPQUA),Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
MILLICOMA HATCHERY(STEP),Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
MILLICOMA_R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
MORGAN CR (STEP-COOS,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
NOBLE CR (STEP-COOS),Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
SALMON R FISH CULTUR,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
SALMON R HATCHERY,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
SIUSLAW,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
SIUSLAW R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
SIUSLAW_RIVER,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
SIXES_R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
SMITH_RIVER_(UMPQUA),Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
SMITH_RIVER_UMPQUA,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
SMITH_RIVER__UMPQUA,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
S_COOS_R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
S_UMPQUA_H,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
TAHKENITCH_L,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
TAHKENITCH_LAKE,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
UMPQUA R (ROCK CR HT),Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
UMPQUA_H,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
UMPQUA_R,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
UMPQUA_SMITH,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
UMPQUA_SP,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
UMPQUA_SPRING,Mid_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
APPLEGATE_CR,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
CHETCO R,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
CHETCO_R,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
COLE,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
COLE RIVER,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
COLEEN_RIVER,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
COLE_RIVER,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
COLE_RIVERS_H,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
COQUILLE R,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
COQUILLE_R,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
ELK R (ELK R HT),N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
HUNTER_CR,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
HUNTER_CREEK,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
LOBSTER_CR,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
LOBSTER_CREEK,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
PISTOL,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
PISTOL_RIVER,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
ROWDY CREEK HATCHERY,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
"ROWDY CREEK, SMITH R",N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
WINCHUK,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
WINCHUK_RIVER,N_California/S_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,Cali
EUCHRE_CR,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
EUCHRE_CREEK,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
MINAM_CR,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
MINAM_CREEK,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
MINAM_R,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
NECANICUM_H,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
NEHALEM,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
NEHALEM_R,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
NEHALEM_RIVER,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
NESTUCCA R (CEDAR CR,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
NESTUCCA_F,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
NESTUCCA_H,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
NESTUCCA_RIVER_FALL,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
TRASK R (TRASK HT),N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
TRASK R HATCHERY,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
TRASK_HATCHERY,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
TRASK_HAT_F,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
TRASK_HAT_SP,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
TRASK_R,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
WILSON_R,N_Oregon_Coast,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
COLE RIVERS HATCHERY,Rogue_R,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
COLUMBIA_ROGUE,Rogue_R,Oregon Coastal North Migrating,Oregon/California,CoastUS,CA_ORCST,WA/OR Coastal
DUNGENESS R  18.0018,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,Salish Coastal
DUNGENESS_H,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,Salish Coastal
DUNGENESS_R,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,Salish Coastal
ELWHA HATCHERY,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,Salish Coastal
ELWHA R      18.0272,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,Salish Coastal
ELWHA_F,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,Salish Coastal
ELWHA_FALL,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,Salish Coastal
ELWHA_R,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,Salish Coastal
HOKO R       19.0148,Juan_de_Fuca,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,Salish Coastal
BINGHAM_CR_HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
COOK CR      21.0429,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
FORKS CREEK HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
FORKS_CREEK_HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
FORKS_CR_H,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
HOH_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
HOH_RIVER,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
HOH_RIVER_SP_S,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
HOKO FALLS HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
HOKO_H_FA,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
HUMPTULIPS HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
HUMPTULIPS R 22.0004,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
HUMPTULIPS_H,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
KILCHIS_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
LONESOME CR HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
MAKAH NFH ON TSOO-YESS R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
MAKAH_H,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
NASELLE HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
NASELLE R    24.0543,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
NEMAH HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
NEMAH R      24.0460,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUEETS,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUEETS R     21.0016,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUEETS_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUEETS_RIVER,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUILAYUTE_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUILLAYUTE,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUILLAYUTE R 20.0096,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUINAULT LK   (21),Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUINAULT LK HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUINAULT NFH -COOK C,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUINAULT R   21.0398,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUINAULT_F,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
QUINAULT_RIVER,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
SATSOP R     22.0360,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
SHALE_H,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
SOL DUC R   20.0096,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
SOLDUC HATCHERY,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
SOLDUC_F,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
SOL_DUC_H,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
SOL_DUC_RIVER,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
TSOO-YESS R      20.0015,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
VAN WINKLE C 22.0240,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
WILLAPA,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
WILLAPA R    24.0251,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
WILLAPA_CR,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
WILLAPA_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
WILLIPA_CREEK,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
YAQUINA_R,Washington_Coast,Washington Coast/Juan de Fuca,Washington Coast,CoastUS,WACST,WA/OR Coastal
ABERNATHY CR 25.0297,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
ABERNATHY F,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
ABERNATHY_CR_FA,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
ABERNATHY_F,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
ABERNATHY_NFH_F,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
ABERNATHY_RIVER,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
BIG CR HATCHERY,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
BIG_CR,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
BIG_CR_H_COL,L_Columbia_R_fa,Fall Cowlitz/Willamette,Columbia,ColR,CR-lower_fa,Col. Coastal
