"aggregate","management_unit","stock"
"CA_ORCST","N_California/S_Oregon_Coast","COLE"
"CA_ORCST","N_California/S_Oregon_Coast","COLE_RIVER"
"CA_ORCST","N_California/S_Oregon_Coast","COLE_RIVERS_H"
"CA_ORCST","N_California/S_Oregon_Coast","COQUILLE R"
"CA_ORCST","N_California/S_Oregon_Coast","COQUILLE_R"
"CA_ORCST","N_California/S_Oregon_Coast","ELK R (ELK R HT)"
"CA_ORCST","N_California/S_Oregon_Coast","HUNTER_CR"
"CA_ORCST","N_California/S_Oregon_Coast","HUNTER_CREEK"
"CA_ORCST","N_California/S_Oregon_Coast","LOBSTER_CR"
"CA_ORCST","N_California/S_Oregon_Coast","LOBSTER_CREEK"
"CA_ORCST","N_California/S_Oregon_Coast","PISTOL"
"CA_ORCST","N_California/S_Oregon_Coast","PISTOL_RIVER"
"CA_ORCST","N_California/S_Oregon_Coast","ROWDY CREEK HATCHERY"
"CA_ORCST","N_California/S_Oregon_Coast","ROWDY CREEK, SMITH R"
"CA_ORCST","N_California/S_Oregon_Coast","WINCHUK"
"CA_ORCST","N_California/S_Oregon_Coast","WINCHUK_RIVER"
"CA_ORCST","N_Oregon_Coast","EUCHRE_CR"
"CA_ORCST","N_Oregon_Coast","EUCHRE_CREEK"
"CA_ORCST","N_Oregon_Coast","NECANICUM_H"
"CA_ORCST","N_Oregon_Coast","NEHALEM"
"CA_ORCST","N_Oregon_Coast","NEHALEM_R"
"CA_ORCST","N_Oregon_Coast","NEHALEM_RIVER"
"CA_ORCST","N_Oregon_Coast","NESTUCCA R (CEDAR CR"
"CA_ORCST","N_Oregon_Coast","NESTUCCA_F"
"CA_ORCST","N_Oregon_Coast","NESTUCCA_H"
"CA_ORCST","N_Oregon_Coast","NESTUCCA_RIVER_FALL"
"CA_ORCST","N_Oregon_Coast","TRASK R (TRASK HT)"
"CA_ORCST","N_Oregon_Coast","TRASK R HATCHERY"
"CA_ORCST","N_Oregon_Coast","TRASK_HAT_F"
"CA_ORCST","N_Oregon_Coast","TRASK_HATCHERY"
"CA_ORCST","N_Oregon_Coast","TRASK_R"
"CA_ORCST","N_Oregon_Coast","WILSON_R"
"CA_ORCST","Rogue_R","COLE RIVERS HATCHERY"
"CA_ORCST","Rogue_R","COLUMBIA_ROGUE"
"CR-lower_fa","L_Columbia_R_fa","ABERNATHY CR 25.0297"
"CR-lower_fa","L_Columbia_R_fa","ABERNATHY_CR_FA"
"CR-lower_fa","L_Columbia_R_fa","ABERNATHY_F"
"CR-lower_fa","L_Columbia_R_fa","ABERNATHY_NFH_F"
"CR-lower_fa","L_Columbia_R_fa","ABERNATHY_RIVER"
"CR-lower_fa","L_Columbia_R_fa","BIG CR HATCHERY"
"CR-lower_fa","L_Columbia_R_fa","BIG_CR"
"CR-lower_fa","L_Columbia_R_fa","BIG_CR_H_COL"
"CR-lower_fa","L_Columbia_R_fa","COLUMBIA R TULES"
"CR-lower_fa","L_Columbia_R_fa","COWEEMAN"
"CR-lower_fa","L_Columbia_R_fa","COWEEMAN_R_FA"
"CR-lower_fa","L_Columbia_R_fa","COWLITZ R -LOWER"
"CR-lower_fa","L_Columbia_R_fa","COWLITZ R -UPPER"
"CR-lower_fa","L_Columbia_R_fa","COWLITZ R    26.0002"
"CR-lower_fa","L_Columbia_R_fa","COWLITZ R @ MAYFIELD"
"CR-lower_fa","L_Columbia_R_fa","COWLITZ SALMON HATCHERY"
"CR-lower_fa","L_Columbia_R_fa","COWLITZ_H_FA"
"CR-lower_fa","L_Columbia_R_fa","ELOCHOMAN R  25.0236"
"CR-lower_fa","L_Columbia_R_fa","ELOCHOMAN_R_FA"
"CR-lower_fa","L_Columbia_R_fa","FALLERT CR HATCHERY"
"CR-lower_fa","L_Columbia_R_fa","KALAMA CR HATCHERY"
"CR-lower_fa","L_Columbia_R_fa","KALAMA FALLS HATCHERY"
"CR-lower_fa","L_Columbia_R_fa","KALAMA_H_SP"
"CR-lower_fa","L_Columbia_R_fa","KLASKANINE HATCHERY"
"CR-lower_fa","L_Columbia_R_fa","LEWIS_R_F"
"CR-lower_fa","L_Columbia_R_fa","LEWIS_R_LSU"
"CR-lower_fa","L_Columbia_R_fa","LEWIS_R_SU"
"CR-lower_fa","L_Columbia_R_fa","NORTH TOUTLE HATCHERY"
"CR-lower_fa","L_Columbia_R_fa","SANDY"
"CR-lower_fa","L_Columbia_R_fa","SANDY COVE SEAPEN"
"CR-lower_fa","L_Columbia_R_fa","SANDY HATCHERY"
"CR-lower_fa","L_Columbia_R_fa","SANDY HATCHERY (SANDY R)"
"CR-lower_fa","L_Columbia_R_fa","SANDY_R"
"CR-lower_fa","L_Columbia_R_fa","SANDY_RIVER"
"CR-lower_fa","L_Columbia_R_fa","TANNER CR (BNVILLE)"
"CR-lower_fa","L_Columbia_R_fa","WASHOUGAL HATCHERY"
"CR-lower_fa","L_Columbia_R_fa","WASHOUGAL R  28.0159"
"CR-lower_fa","L_Columbia_R_fa","WASHOUGAL_R_FA"
"CR-lower_fa","Mid_Columbia_R_tule","ELOCHOMAN_H"
"CR-lower_fa","Mid_Columbia_R_tule","SPRING CR NFH"
"CR-lower_fa","Mid_Columbia_R_tule","SPRING_CR_COL"
"CR-lower_fa","Mid_Columbia_R_tule","SPRING_CR_H"
"CR-lower_fa","Mid_Columbia_R_tule","SPRING_CREEK_HATCHERY"
"CR-lower_sp","L_Columbia_R_sp","COWEEMAN R   26.0003"
"CR-lower_sp","L_Columbia_R_sp","COWLITZ_H_SP"
"CR-lower_sp","L_Columbia_R_sp","COWLITZ_HATCHERY_SPRING"
"CR-lower_sp","L_Columbia_R_sp","KALAMA R     27.0002"
"CR-lower_sp","L_Columbia_R_sp","LEWIS R -NF  27.0168"
"CR-lower_sp","L_Columbia_R_sp","LEWIS R      27.0168"
"CR-lower_sp","L_Columbia_R_sp","LEWIS RIVER HATCHERY"
"CR-lower_sp","L_Columbia_R_sp","LEWIS_H_SP"
"CR-lower_sp","L_Columbia_R_sp","SPRING CR    29.0159"
"CR-lower_sp","L_Columbia_R_sp","TOUTLE R     26.0227"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","CHIWAWA_RIVER_SPRING"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","CHIWAWA_SP"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","COLUMBIA R -MID"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","COLUMBIA R UPRIVER S"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","ENTIAT NFH"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","ENTIAT_H"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","ENTIAT_SP"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","GRANITE_CR"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","JOHN_DAY_N"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","JOHN_DAY_R"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","JOHNDAY_R"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","L_WH_SAL_H_SP"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","LITTLENACHES_SP"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","METHOW_R_SP"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","MF_JOHNDAY_R"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","NACHES_RIVER"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","NACHES_SP"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","NF_JOHNDAY_R"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","SERPENTINE"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","SERPENTINE_RIVER"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","SHITIKE_H"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","TWISP_R_SP"
"CR-upper_sp","Mid_and_Upper_Columbia_R_sp","U_YAKIMA_H"
"CR-upper_sp","Snake_R_sp/su","BEAR_VALLEY_CR"
"CR-upper_sp","Snake_R_sp/su","CAMAS_CR"
"CR-upper_sp","Snake_R_sp/su","CAPEHORN_CR"
"CR-upper_sp","Snake_R_sp/su","CATHERINE_CR"
"CR-upper_sp","Snake_R_sp/su","CHAMBERLAIN_CR"
"CR-upper_sp","Snake_R_sp/su","CROOKED_FK_CR"
"CR-upper_sp","Snake_R_sp/su","F SNAKE R"
"CR-upper_sp","Snake_R_sp/su","FRENCHMAN-SP"
"CR-upper_sp","Snake_R_sp/su","IMNAHA"
"CR-upper_sp","Snake_R_sp/su","IMNAHA R AND TRIBS"
"CR-upper_sp","Snake_R_sp/su","IMNAHA_R"
"CR-upper_sp","Snake_R_sp/su","JOHNSON_CR"
