"stock","Region1Name","Region2Name","Region3Name","Region4Name","pst_agg"
"TRINITY_SP","Klamath_R","California","Oregon/California","CoastUS","CA_ORCST"
"TRINITY_SPRING","Klamath_R","California","Oregon/California","CoastUS","CA_ORCST"
"ALSEA_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"BANDON HATCHERY","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"CLEELMHATCH","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COOS R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"COOS_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ELK","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ELK R HATCHERY","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ELK_H","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"ELK_RIVER","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"GARDINER CR (UMPQUA)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"MILLICOMA HATCHERY(STEP)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"MILLICOMA_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"MORGAN CR (STEP-COOS","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"NOBLE CR (STEP-COOS)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SALMON R FISH CULTUR","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SALMON R HATCHERY","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SIUSLAW","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SIUSLAW R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SIUSLAW_RIVER","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SIXES_R","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SMITH_RIVER_(UMPQUA)","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
"SMITH_RIVER_UMPQUA","Mid_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","CA_ORCST"
