"stock","Region1Name","Region2Name","Region3Name","Region4Name","id_type","pst_agg"
"LOBSTER_CREEK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"PISTOL","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"PISTOL_RIVER","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"WINCHUK","N_California/S_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"EUCHRE_CR","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"EUCHRE_CREEK","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"KILCHIS_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"NECANICUM_H","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"NEHALEM","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"NEHALEM_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"NESTUCCA_F","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"NESTUCCA_H","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"TRASK_HAT_F","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"TRASK_HAT_SP","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"TRASK_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"WILSON_R","N_Oregon_Coast","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"COLUMBIA_ROGUE","Rogue_R","Oregon Coastal North Migrating","Oregon/California","CoastUS","gsi","CA_ORCST"
"DUNGENESS_R","Juan_de_Fuca","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
"ELWHA_F","Washington_Coast","Washington Coast/Juan de Fuca","Washington Coast","CoastUS","gsi","WACST"
